circular_id,circular_number,circular_name,branch_name,year,circular_date,circular_url,english_url,sinhala_url,tamil_url,complete_trilingual
2221,17/2026,Competitive Examination for Recruitment to Grade III of the Sri Lanka Administrative Service under the Merit Stream -2026,,2026,2026-08-10,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2221&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1786357117-17-2026-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1786357117-17-2026-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1786357117-17-2026-t.pdf,True
2220,12/2003 (V),"Revision of Fees for Translations, Interpretations and Typing",,2026,2026-08-05,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2220&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1786019630-12-2003-v-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1786019630-12-2003-v-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1786019630-12-2003-v-t.pdf,True
2219,04/2026,ANNUAL TRANSFERS OF OFFICERS IN COMBINED SERVICES - 2027,,2026,2026-07-31,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2219&Itemid=176&lang=en,,https://pubad.gov.lk/web/images/circulars/2026/S/1785492904-04-2026-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1785492904-04-2026-t.pdf,False
2218,03/2025 (II),Registration of public officers under the Widows' and Orphans' / Widowers' and Orphans' Pension Scheme and the verification of their beneficiaries' information through a new online information system.,,2026,2026-07-21,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2218&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1784646231-03-2025-ii-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1784646231-03-2025-ii-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1784646231-03-2025-ii-t.pdf,True
2217,16/2026,"Payment of the Cost-of-Living Allowance to Public Officers Entitled to Exercise Political Rights Who Submitted Nominations to Contest the Local Authorities Election, 2023",,2026,2026-07-17,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2217&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1784562020-16-2026-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1784562020-16-2026-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1784562020-16-2026-t.pdf,True
2216,33/2017 (I),Posts Belonging to the Category of Field Officer in the Public Service and Provincial Public Service,,2026,2026-07-16,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2216&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1784278664-33-2017-i-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1784278664-33-2017-i-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1784278664-33-2017-i-t.pdf,True
2215,14/2026,Granting of No-Pay Leave to Officers Entitled to the Exercise of Political Rights Who Contest the Local Government Elections and Are Elected as Deputy Mayors / Vice Chairmen,,2026,2026-07-09,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2215&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1783666444-14-2026-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1783666444-14-2026-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1783666444-14-2026-t.pdf,True
2213,12/2026,Submission of reports on arrears of revenue for code “20.02.01.01” Rent on Government Buildings and Housing as at 30.06.2026,,2026,2026-06-12,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2213&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1781510548-12-2026-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1781510548-12-2026-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1781510548-12-2026-t.pdf,True
2214,13/2026,"Revenue Estimates for Year 2027 for Revenue Code 20.02.01.01, Rent on Government Buildings & Housing",,2026,2026-06-12,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2214&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1781510659-13-2026-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1781510659-13-2026-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1781510659-13-2026-t.pdf,True
2212,03/2026,Implementation of Annual Transfers for Officers in Combined Services,,2026,2026-05-27,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2212&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/2026/E/1780035825-03-2026-e.pdf,https://pubad.gov.lk/web/images/circulars/2026/S/1780035825-03-2026-s.pdf,https://pubad.gov.lk/web/images/circulars/2026/T/1780035825-03-2026-t.pdf,True
